id,Scientific_name,Common_name,Taxonomic_group,ITIS_TSN,Family,Organism_category,Origin,Origin_detail,Basis_for_listing,GLR_Regulated_locations,Established_in_Great_Lakes_Region,GLR_year,Current_GLR_range,Current_invaded_range,Introduction_pathway,GLR_spread_pathways,Maximum_adult_length,Maximum_adult_size_STANDARD_mm,Salinity_tolerance,Habitat_preference,Habitat_description,Reproduction,Reproduction_strategy,Growth_habit,Life_cycle,Environmental_impact,Socioeconomic_impact,Beneficial_effect,Impact_summary,Impacts_and_possible_interactions,Risk_assessment
1,Arundo donax,giant reed,Plant,41450,Poaceae,"graminoid, shrub, subshrub",Eurasia,n/a,Proposed restriction list in GLR,WI,Yes,n/a,"WI, IL, OH","North America, Africa, Eurasia, South America, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal",600 cm,6000,"freshwater, brackish","wetland, riparian","wet, drained soil","sexual, asexual","rhizomes, fragmentation","riparian, emergent",perennial,n/a,n/a,n/a,"competition, habitat alteration, ecosystem change        ","outcompetes indigenous communities for resources, alters indigenous vegetative structure/habitat, fire promoter, modifies river hydrology ",USDA
2,Azolla pinnata,mosquito fern,Plant,181820,Azollaceae,forb/herb,"Oceania, Asia, Africa","Australia, Asia, Africa",Proposed restriction list in GLR,WI ,n/a,n/a,n/a,North America,aquarium/garden,"commercial shipping, recreational boating, canal",2.5 cm ,25,freshwater,"lake/pond, river/stream, riparian","quiet, slow moving water, moist soil","sexual, asexual","external pollination, fragmentation",floating leaf,annual,n/a,n/a,n/a,"competition, ecosystem change, nuisance   ",forms dense surface mats which interfere with recreation; decreases oxygen and light levels to indigenous plants,n/a
3,Butomus umbellatus,flowering rush,Plant,38886,Butomaceae,forb/herb,Eurasia,n/a,"Ontario watch list, Regulated in GLR","IL, MN, WI",Yes,1905,"Great Lakes (all), throughout GLR",North America,aquarium/garden,"commercial shipping, recreational boating, canal",150 cm,1600,freshwater,"lake/pond, river/stream, wetland, riparian","wet soil, water up to 2 m deep","sexual, asexual","external pollination, self-pollination, rhizomes, fragmentation",emergent,perennial,moderate,inadequate research,inadequate research,"competition, nuisance   ","forms dense stands that displace indigenous species and interfere with recreation, decreases oxygen and light levels to indigenous plants",MISP
4,Cabomba caroliniana,fanwort,Plant,18408,Cabombaceae,forb/herb,"South America, North America","South America, North America (south and east)","Present, Ontario watch list",ON,Yes,1935,"Great Lakes (Michigan), ON, IL, IN, MI, NY, OH, PA","North America, Asia, South America",aquarium/garden,"commercial shipping, recreational boating, canal",10 m,10000,freshwater,"lake/pond, river/stream",still or slow-moving water,"sexual, asexual","self-pollination, rhizomes, fragmentation","submergent, floating leaf",perennial,moderate,moderate,inadequate research,"competition, habitat alteration, ecosystem change, nuisance   ","forms dense stands that displace indigenous species and interfere with recreation, decreases oxygen and light levels to indigenous plants, disrupts fish habitat and replaces indigenous food sources",MISP
5,Callitriche stagnalis,pond water-starwort,Plant,32062,Plantaginaceae,forb/herb,Europe,n/a,Regulated in GLR,IL,n/a,n/a,n/a,"North America, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal",30 cm,300,freshwater,"lake/pond, river/stream, wetland, riparian","shallow, still or slow-moving water, wet soil","sexual, asexual","self-pollination, fragmentation","submergent, floating leaf",perennial,n/a,n/a,n/a,competition,competes with indigenous communities for resources,n/a
6,Carex acutiformis,"lesser pond sedge, European lake sedge",Plant,39477,Cyperaceae,graminoid,"Eurasia, Africa, Asia","Europe, Africa, Southwest Asia","Present, Ontario watch list",ON,Yes,1951,"Great Lakes (Michigan), ON (Ottawa), IN, MI","North America, Eurasia",commercial shipping,"recreational boating, canal",75 cm,750,freshwater,"lake/pond, river/stream, wetland, riparian","moist soil, most wetland types, margins of rivers, streams, lakes, ponds","sexual, asexual","external pollination, rhizomes, fragmentation",riparian,perennial,moderate,little/no evidence,little/no evidence,"competition, indigenous species decline       ",can form dense stands that displace indigenous species,n/a
7,Caulerpa taxifolia (aquarium/Mediterranean strain),killer algae,Plant,6974,Caulerpaceae,macroalgae,"Oceania, Africa, Asia, North America","Oceania, Africa, Asia, Central America/Caribbean",Proposed restriction list in GLR,WI ,n/a,n/a,n/a,"North America, Eurasia, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal, bait release",5 - 80 cm (primary frond),800,"brackish, marine","lake/pond, river/stream","epibenthic (attaches to most substrates including sand, rock, mud), shallow or deep water","sexual, asexual","rhizomes, fragmentation",submergent,perennial,n/a,n/a,n/a,"competition, ecosystem change, indigenous species decline, nuisance, toxic  ","can form dense stands that displace indigenous species (algal, seagrasses, sessile invertebrate communities) though competition for food and light; toxic to herbivores; reduces indigenous species diversity and fish habitat",n/a
8,Crassula helmsii,"Australian stonecrop, New Zealand pygmy weed",Plant,894364,Crassulaceae,forb/herb,Oceania,"Australia, New Zealand",Regulated in GLR,"IL, MN, WI",n/a,n/a,n/a,"North America, Europe",aquarium/garden,"commercial shipping, recreational boating, canal",10 - 130 cm (stem),1300,"freshwater, brackish","lake/pond, river/stream, wetland, riparian","wide range of habitats, terrestrial form: moist soil, most wetland types, margins of rivers, streams, lakes, ponds, aquatic form: can establish in water up to 3 m deep","sexual, asexual","self-pollination, turions, fragmentation","emergent, submergent, free floating, riparian",perennial,high,moderate,little/no evidence,"competition, ecosystem change, indigenous species decline, nuisance   ","can form dense stands that displace indigenous species, reduces biodiversity, decreases water quality/flow; interferes with recreation",USDA
9,Cylindrospermopsis raciborskii,cylindro (cyanobacteria),Plant,203690,Nostocaceae,cyanobacteria,South America,South America,Regulated in GLR,"IL, MI, WI ",Yes,1971,"Great Lakes (Erie),  ON (Constance Lake), MI ",North America,commercial shipping,"recreational boating, canal, bait release",311 um,0.311,freshwater,"lake/pond, river/stream","planktonic: euphotic zone, prefers still or slow-moving water",asexual,fragmentation,"submergent, free floating","annual, perennial (tropical locations)",little/no evidence,moderate,little/no evidence,"habitat alteration, indigenous species decline, nuisance, toxic  ","able to produce toxins that can be deleterious or lethal to invertebrates, fish and mammals; severe impacts to water quality (recreation and drinking water) ",n/a
10,Didymosphenia geminata,"didymo, rock snot (invasive strain)",Plant,591283,Gomphonemataceae,diatom,"North America, Europe, cryptogenic","Western North America, Northern Europe ","Present, Regulated in GLR","IL, IN, MI, MN, WI",Yes,"",unknown,North America,"commercial shipping, recreational boating","canal, bait release",140 um,0.14,freshwater,"lake/pond, river/stream","epilithic and epiphytic, prefers cold, flowing oligotrophic water","sexual, asexual",fragmentation,submergent,n/a,moderate,moderate,little/no evidence,"competition, ecosystem change, indigenous species decline, nuisance   ","can form dense benthic mats that displace indigenous species, reduces biodiversity, alters habitat, decreases water quality/flow; interferes with recreation",n/a
11,Egeria densa,Brazilian waterweed,Plant,38972,Hydrocharitaceae,forb/herb,South America,"Brazil, Argentina, Uruguay",Regulated in GLR,"IL, MN, ON ",Yes,"","Ohio, Illinois and Mississippi River basins, IL, IN, MN, NY","North America, Oceania, Asia, South America, Europe",aquarium/garden,"commercial shipping, recreational boating, canal",500 cm,5000,freshwater,"lake/pond, river/stream","still or slow-moving water up to 7 m deep, tolerates turbidity and low light","sexual, asexual","external pollination, fragmentation",submergent,perennial,n/a,n/a,n/a,"competition, habitat alteration, ecosystem change, nuisance   ","forms dense stands that displace indigenous species, reduces biodiversity, alters habitat and water quality, provides poor fish habitat, interferes with recreation, biofouling",MISP
12,Eichhornia azurea,anchored water hyacinth,Plant,42622,Pontederiaceae,forb/herb,"South America, North America","Central America, South America",Regulated in GLR,"IL, ON",n/a,n/a,n/a,North America,aquarium/garden,"commercial shipping, recreational boating, canal",100 cm,1000,freshwater,"lake/pond, river/stream, wetland, riparian","wide habitat range, prefers soft substrates (mud) with seasonal floods or open and slow moving water","sexual, asexual","external pollination, fragmentation","submergent, emergent",perennial,n/a,n/a,n/a,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense floating mats that outcompete indigenous species, alters ecosystem and water quality, decreases biodiversity, interferes with recreation, biofouling",n/a
13,Eichhornia crassipes,water hyacinth,Plant,42623,Pontederiaceae,forb/herb,South America,Brazil,"Ontario watch list, Regulated in GLR",IL,n/a,n/a,n/a,"North America, Africa, Oceania, Asia, Europe",aquarium/garden,"commercial shipping, recreational boating, canal",120 cm,1200,freshwater,"lake/pond, river/stream, wetland, riparian","wide habitat range, prefers eutrophic slow flowing water","sexual, asexual","external pollination, stolons, fragmentation","submergent, emergent",perennial,high,high,moderate,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense floating mats that outcompete indigenous species, alters ecosystem and water quality, alters water flow, increases evapotranspiration, decreases biodiversity, interferes with recreation, biofouling",n/a
14,Enteromoprha (Ulva) intestinalis,"sea lettuce, green alga, frass kelp",Plant,6535,Ulvaceae,macroalgae,"North America, Asia, Africa, Europe, South America, Oceania","North America, Asia, Africa, Europe, South America, Oceania",Regulated in GLR,"IL, WI",Yes,1926,"localized populations in OH, MI (Detroit River), NY ","North America, Asia, Africa, Europe, South America, Oceania","commercial shipping, aquarium/garden","recreational boating, canal",20 cm,200,"freshwater, brackish, marine","lake/pond, river/stream","wide range of aquatic habitats, able to take different forms - epiphytic, epilithic, floating sheets, floating ropes, attached mats, bottle brush","sexual, asexual",fragmentation,"submergent, free floating",n/a,moderate,little/no evidence,little/no evidence,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense mats, alters ecosystems, biofouling, produces blooms/green tides that causes cascade effects through food web, reduces biodiversity, changes water flow and chemistry, impedes commercial and recreational activities",n/a
15,Fallopia japonica,Japanese knotweed ,Plant,565897,Polygonaceae,forb/herb,Asia,East Asia,Regulated in GLR,"MI, ON",Yes,"","Great Lakes (all), throughout GLR","North America, Europe, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal",300 cm,3000,freshwater,"wetland, riparian","prefers open areas with full sun, tolerates wide range of soil and moisture conditions","sexual, asexual","external pollination, rhizomes, fragmentation","riparian, emergent",annual,n/a,n/a,n/a,"competition, habitat alteration, ecosystem change, indigenous species decline, hybridization, nuisance   ","potential hybridization with indigenous species, forms dense monocultures, alters ecosystems, excludes indigenous species, reduces biodiversity, alters nutrient cycling, allelopathic (chemical suppression of competitors), strong root system can break asphalt and concrete",n/a
16,Glossostigma cleistanthum,mudmat,Plant,834093,Scrophulariaceae,forb/herb,Oceania,"Australia, New Zealand",Proposed restriction list in GLR,WI ,n/a,n/a,n/a,North America,aquarium/garden,"commercial shipping, recreational boating, canal, bait release",2 cm,20,freshwater,"lake/pond, river/stream, wetland, riparian","muddy and sandy substrates of littoral zones up to 4 m deep, prefers full sun and oligotrophic conditions",sexual,"self-pollination, rhizomes, fragmentation","submergent, emergent","annual, perennial",n/a,n/a,n/a,"competition, indigenous species decline, unknown","unknown, forms dense mats in littoral habitat, outcompetes indigenous species for resources, reduces biodiversity",NYS
17,Glyceria maxima,"rough mannagrass, reed sweetgrass",Plant,40846,Poaceae,graminoid,Eurasia,"Europe, Asia","Present, Ontario watch list",ON,Yes,1940,"ON, WI","North America, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal",250 cm,2500,freshwater,"lake/pond, river/stream, wetland, riparian","wide range of habitats, prefers wet or occasionally flooded areas, still or slow-moving water up to 30 cm deep, full sun to partial shade","sexual, asexual","external pollination, rhizomes, fragmentation","riparian, emergent",perennial,moderate,little/no evidence,little/no evidence,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense monocultures, alters ecosystems, excludes indigenous species, reduces biodiversity, alters nutrient cycling,  water flow and habitat, biofouling, decreases spawning habitat for fish",NYS
18,Heracleum mantegazzianum,giant hogweed ,Plant,502954,Apiaceae,forb/herb,Asia,n/a,Regulated in GLR,"IL, MI, OH, PA",Yes,"","ON, WI","North America, Europe",aquarium/garden,"commercial shipping, recreational boating, canal",600 cm,6000,freshwater,"wetland, riparian","moist to wet soil, wide range of habitats",sexual,"external pollination, self-pollination",riparian,perennial,n/a,n/a,n/a,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance, toxic  ","forms dense monocultures and outcompetes indigenous species, alters ecosystems, excludes indigenous species, reduces biodiversity, alters nutrient cycling, causes shoreline erosion, decreases spawning for fish, allelopathic (chemical suppression of competitors), produces sap that is phytotoxic (human health hazard)","CFIA, NYS"
19,Houttuynia cordata,chameleon,Plant,506518,Saururaceae,forb/herb,Asia,n/a,Regulated in GLR,IL,n/a,n/a,n/a,"Asia, Oceania, North America",aquarium/garden,"commercial shipping, recreational boating, canal",80 cm,800,freshwater,"lake/pond, river/stream, wetland, riparian","terrestrial and aquatic, prefers moist loamy soils, shallow water, shade to full sun","sexual, asexual","rhizomes, stolons, fragmenation","emergent, riparian",perennial,n/a,n/a,n/a,"competition, ecosystem change, unknown","unknown, outcompetes indigenous species, alters ecosystems",n/a
20,Hydrilla verticillata,hydrilla ,Plant,38974,Hydrocharitaceae,forb/herb,Asia,"India, Korea","Ontario watch list, Regulated in GLR","IL, IN, MI, MN, ON",Yes,2011,"NY (Finger Lakes), IN, WI","North America, Africa, Eurasia, South America, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal",750 cm,7500,"freshwater, brackish","lake/pond, river/stream, wetland","wide range of habitats, water up to 6 m deep, shade to full sun","sexual, asexual","external pollination, tubers, turions, fragmentation","submergent, free floating",perennial,high,high,moderate,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense monocultures, alters ecosystems, excludes indigenous species, reduces biodiversity across all trophic levels, alters nutrient cycling, changes water flow, allelopathic (chemical suppression of competitors), impedes commercial and recreational activities, biofouling",MISP
21,Hydrocharis morsus-ranae,European frogbit ,Plant,503098,Hydrocharitaceae,forb/herb,"Eurasia, Africa","Europe, Asia, Africa","Present, Ontario watch list, Regulated in GLR","IL, MI, MN, ON, WI",Yes,1932,"Great Lakes (Erie, Ontario), ON, PQ, MI, NY, VT",North America,aquarium/garden,"commercial shipping, recreational boating, canal",30 cm (individual rosette),300,freshwater,"lake/pond, river/stream, wetland","prefers shallow, slow moving mesotrophic water","sexual, asexual","external pollination, stolons, turions, fragmentation",free floating,perennial,moderate,moderate,little/no evidence,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense floating mats, declines in indigenous species, reduces biodiversity, decreases water quality and flow, biofouling, impedes commercial and recreational activities",MISP
22,Hydrocotyle ranunculoides,floating marsh pennywort,Plant,29513,Apiaceae,forb/herb,North America,Southeastern North America,Proposed restriction list in GLR,WI ,n/a,n/a,n/a,"Europe, Oceania, Asia",aquarium/garden,"commercial shipping, recreational boating, canal",90 cm,900,freshwater,"lake/pond, river/stream, wetland","wide range of habitats, prefers shallow, still to slow-moving water","sexual, asexual","external pollination, stolons, fragmentation","emergent, free floating",perennial,n/a,n/a,n/a,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense floating mats or stands, declines in indigenous species, reduces biodiversity, decreases water quality and flow, biofouling, impedes commercial and recreational activities",n/a
23,Hygrophila polysperma,Indian swampweed,Plant,182342,Acanthaceae,forb/herb,Asia,"India, East Asia",Regulated in GLR,"IL, MN, WI",n/a,n/a,n/a,"North America, Europe",aquarium/garden,"commercial shipping, recreational boating, canal",180 cm ,1800,freshwater,"lake/pond, river/stream, wetland, riparian","wide range of habitats, terrestrial form can grow in moist soil, aquatic form in water up to 3 m deep","sexual, asexual","stolons, fragmentation","submergent, emergent, free floating",perennial,moderate,high,moderate,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense floating mats or stands, declines in indigenous species, reduces biodiversity, decreases water quality and flow, biofouling, impedes commercial and recreational activities",USDA
24,Ipomoea aquatica,water spinach,Plant,30759,Convolvulaceae,"forb/herb, vine",Asia,n/a,Proposed restriction list in GLR,WI ,n/a,n/a,n/a,"North America, Africa, South America, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal",300 cm,3000,freshwater,"lake/pond, river/stream, wetland, riparian","wide range of habitats, moist soil or shallow water","sexual, asexual","external pollination, self-pollination, fragmentation","emergent, floating leaf, riparian","annual, perennial",n/a,n/a,n/a,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense mats, declines in indigenous species, reduces biodiversity, decreases water quality and flow, biofouling, impedes commercial and recreational activities",n/a
25,Iris pseudacorus,yellow flag iris,Plant,43194,Iridaceae,forb/herb,Eurasia,n/a,"Present, Ontario watch list, Regulated in GLR","IL, MI, MN, ON, WI",Yes,1886,"Great Lakes (all), throughout GLR",North America,aquarium/garden,"commercial shipping, recreational boating, canal",150 cm,1500,freshwater,"lake/pond, river/stream, wetland, riparian","wide range of habitats, moist soil or shallow water","sexual, asexual","external pollination, stolons, rhizomes, fragmentation","emergent, riparian",perennial,high,moderate,moderate,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance, toxic  ","forms dense stands, declines in indigenous species, reduces biodiversity (including fish and fowl), decreases water quality and flow, toxic to animals (skin irritation and non-fatal poisoning, reduces available plant material to herbivores)",USDA
26,Lagarosiphon major,"oxygen weed, African oxygen weed, African elodea",Plant,565981,Hydrocharitaceae,forb/herb,Africa,Southern Africa,Regulated in GLR,"IL, MI, MN, WI",n/a,n/a,n/a,"Europe, Africa, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal",700 cm,7000,freshwater,"lake/pond, river/stream, wetland","prefers still to slow-moving water with soft substrates (sand, silt), grows up to 6.6 m deep","sexual, asexual","external pollination, rhizomes, fragmentation",submergent,perennial,n/a,n/a,n/a,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense stands, declines in indigenous species, reduces biodiversity, decreases water quality and flow, biofouling, impedes commercial and recreational activities",MISP
27,Landoltia punctata,dotted duckweed,Plant,811051,Lemnaceae,forb/herb,"Asia, Oceania","Australia, Southeast Asia",Regulated in GLR,IL,n/a,n/a,n/a,North America,aquarium/garden,"commercial shipping, recreational boating, canal",10 cm,100,freshwater,"lake/pond, river/stream, wetland","quiet, nutrient rich water, tolerates seasonally intermittent water","sexual, asexual","external pollination, stolons, fragmentation",free floating,perennial,n/a,n/a,n/a,"competition, unknown","unknown, forms dense stands",n/a
28,Limnobium spongia,"sponge plant, frog's bit",Plant,38948,Hydrocharitaceae,forb/herb,North America,Southern USA,Regulated in GLR,IL ,n/a,n/a,n/a,"Europe, North America",aquarium/garden,"commercial shipping, recreational boating, canal, bait release",2.5 cm ,25,freshwater,"lake/pond, river/stream, wetland","still to slow-moving eutrophic water, wet, sandy loam soils, full to partial sun","sexual, asexual","external pollination, stolons, turions, fragmentation","emergent, floating leaf",perennial,n/a,n/a,n/a,"competition, unknown","unknown, forms dense stands",USDA
29,Limnophila sessiliflora,Asian marshweed,Plant,33635,Plantaginaceae,forb/herb,Asia,"India, Southeast Asia",Regulated in GLR,"IL, MN",n/a,n/a,n/a,"North America, Asia",aquarium/garden,"commercial shipping, recreational boating, canal",370 cm,3700,freshwater,"lake/pond, river/stream, wetland","wide range of habitats, wet soil to fully submersed, cool streams to warm lake shorelines up to 3.7 m deep, full sun to shade","sexual, asexual","self-pollination, fragmentation","submergent, emergent","annual, perennial",n/a,n/a,n/a,"competition, indigenous species decline, nuisance, unknown","unknown, forms dense stands, declines in indigenous species, reduces biodiversity, biofouling, impedes commercial and recreational activities",n/a
30,Lythrum salicaria,purple loosestrife ,Plant,27079,Lythraceae,forb/herb,"Eurasia, Africa, Oceania","Europe, Asia, North Africa, Oceania","Present, Ontario watch list, Regulated in GLR","IL, IN, MI, MN, OH, ON, PA, WI",Yes,1939,"Great Lakes (all), throughout GLR","North America, Eurasia, Oceania, South America","aquarium/garden, commercial shipping","recreational boating, canal",250 cm,2500,freshwater,"wetland, riparian","wide range of habitats, prefers moist rich soils, full sun to partial shade","sexual, asexual","external pollination, rhizomes, fragmentation","emergent, riparian",perennial,high,inadequate research,inadequate research,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense stands, alters ecosystems, declines in indigenous species communities and biomass, reduces biodiversity, alters water chemistry and flow, poor habitat for indigenous birds, insects and other species, biofouling",MISP
31,Lythrum virgatum,wanded loosestrife,Plant,27089,Lythraceae,forb/herb,Eurasia,"Europe, Western Asia",Proposed restriction list in GLR,WI ,n/a,n/a,n/a,North America,aquarium/garden,"commercial shipping, recreational boating, canal",100 cm,1000,freshwater,"wetland, riparian","wide range of habitats, prefers moist rich soils, full sun to partial shade","sexual, asexual","external pollination, rhizomes, fragmentation","emergent, riparian",perennial,n/a,n/a,n/a,"competition, habitat alteration, ecosystem change, indigenous species decline, hybridization, nuisance, unknown","unknown, research on this plant is limited and assumed to be similar to Purple Loosestrife, may hybridize with indigenous Lythrum alatum (Winged Loosestrife, as well as Purple Loosestrife)",n/a
32,Marsilea quadrifolia,"water shamrock, European waterclover",Plant,17995,Marsileaceae,forb/herb,Eurasia,"Europe, Asia",Regulated in GLR,IL,Yes,1925,"Great Lakes (Ontario), ON (southwestern), NY (Finger Lakes), MI","North America, Eurasia",aquarium/garden,"commercial shipping, recreational boating, canal",20 cm,200,freshwater,"lake/pond, river/stream, wetland","moist soils, shallow still to slow-moving water, prefers sandy and loamy soils, full sun to partial shade","sexual, asexual","external pollination, rhizomes, fragmentation","floating leaf, emergent, submergent",perennial,inadequate research,little/no evidence,little/no evidence,"competition, unknown","unknown, conflicting reports on invasive behaviour, capable of dense stands",n/a
33,Melaleuca quinquenervia,"melaleuca, punk tree, paperbark tea tree",Plant,27228,Myrtaceae,tree,Oceania,"Australia, New Guinea, Indonesia",Regulated in GLR,"IL, MN",n/a,n/a,n/a,"North America, Asia, Africa, South America, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal",12 m,12000,"freshwater, brackish","wetland, riparian","moist soils, tolerates flooding and standing water",sexual,"external pollination, fragmentation","emergent, riparian",perennial,n/a,n/a,n/a,"competition, habitat alteration, ecosystem change, indigenous species decline       ","forms dense stands, displaces indigenous plants and animals, changes water flow and soil chemistry, creates fire hazards, converts wetlands to uplands, decreases biodiversity",n/a
