id,Scientific_name,Common_name,Taxonomic_group,ITIS_TSN,Family,Organism_category,Origin,Origin_detail,Basis_for_listing,GLR_Regulated_locations,Established_in_Great_Lakes_Region,GLR_year,Current_GLR_range,Current_invaded_range,Introduction_pathway,GLR_spread_pathways,Maximum_adult_length,Maximum_adult_size_STANDARD_mm,Salinity_tolerance,Habitat_preference,Habitat_description,Reproduction,Reproduction_strategy,Growth_habit,Life_cycle,Environmental_impact,Socioeconomic_impact,Beneficial_effect,Impact_summary,Impacts_and_possible_interactions,Risk_assessment
34,Miscanthus sacchariflorus ,amur silvergrass,Plant,503854,Poaceae,graminoid,Asia,Eastern Asia,Present; USDA: invasive across North America,MA,Yes,"","localized populations in MI, MN, NY, ON, WI ",North America,aquarium/garden,"commercial shipping, recreational boating, canal",250 cm,2500,freshwater,riparian,"moist (not saturated), organic soil, full sun to partial shade","sexual, asexual","external pollination, rhizomes, fragmentation",riparian,perennial,n/a,n/a,n/a,"competition, habitat alteration, indigenous species decline       ","forms dense stands, competes with indigenous plants, reduces biodiversity and displaces indigenous plants, hybridizes with others in genus, creates fire hazards, changes nutrient cycling",n/a
35,Miscanthus sinensis ,"Chinese silvergrass, maiden grass",Plant,41874,Poaceae,graminoid,Asia,n/a,USDA: invasive across North America,n/a,Yes,1800s,"localized populations in IL, MI, NY, OH, ON (southern), PA","North America, South America, Oceania, Europe",aquarium/garden,"commercial shipping, recreational boating, canal",370 cm,3700,freshwater,riparian,"moist (not saturated), organic soil, full sun to partial shade","sexual, asexual","external pollination, rhizomes, fragmentation",riparian,perennial,n/a,n/a,n/a,"competition, habitat alteration, indigenous species decline       ","forms dense stands, competes with indigenous plants, reduces biodiversity and displaces indigenous plants, hybridizes with others in genus, creates fire hazards, changes nutrient cycling",USDA
36,Monochoria hastata,"arrowleaf false pickerelweed, leaf pondweed",Plant,503870,Pontederiaceae,forb/herb,"Asia, Oceania","Southeast Asia, Australia",Regulated in GLR,"IL, MN",n/a,n/a,n/a,Asia,aquarium/garden,"commercial shipping, recreational boating, canal",100 cm,1000,freshwater,"lake/pond, river/stream, wetland, riparian","permanently wet soils, shallow still water, full sun","sexual, asexual","external pollination, stolons, fragmentation","emergent, riparian","annual, perennial",n/a,n/a,n/a,"competition, unknown","unknown, forms dense stands, agricultural weed to paddy crops (e.g., wild rice, watercress)",n/a
37,Monochoria vaginalis,heartshape false pickerelweed,Plant,42628,Pontederiaceae,forb/herb,Asia,n/a,Regulated in GLR,"IL, MN",n/a,n/a,n/a,"North America (Hawaii), Asia",aquarium/garden,"commercial shipping, recreational boating, canal",50 cm,500,freshwater,"lake/pond, river/stream, wetland, riparian","permanently wet soils, shallow still water, full sun","sexual, asexual","external pollination, stolons, tubers, fragmentation","emergent, riparian","annual, perennial",n/a,n/a,n/a,"competition, habitat alteration, ecosystem change        ","forms dense stands, alters ecosystems, agricultural weed to paddy crops (e.g., wild rice, watercress)",n/a
38,Myosotis scorpioides,aquatic forget-me-not,Plant,31697,Boraginaceae,forb/herb,Eurasia,"Europe, Asia",Proposed restriction list in GLR,WI,Yes,1886,"Great Lakes (all), throughout GLR",North America,aquarium/garden,"commercial shipping, recreational boating, canal",60 cm,600,freshwater,"lake/pond, river/stream, wetland, riparian","permanently wet soils, shallow still to slow-moving water","sexual, asexual","external pollination, stolons, fragmentation","emergent, riparian",perennial,inadequate research,little/no evidence,little/no evidence,"competition, indigenous species decline, toxic  ","forms dense stands, declines in indigenous plant species, toxic to mammals (cause poor condition, liver disease) ",n/a
39,Myriophyllum aquaticum,"parrot's feather, parrot feather watermilfoil",Plant,503904,Haloragidaceae,forb/herb,South America,Amazon River basin,"Ontario watch list, Regulated in GLR","IL, MI, MN, ON, WI",Yes,2006,"Ohio, Illinois and Mississippi basins, IL, IN, MI, MN, OH, WI","North America, Europe, Asia, Africa, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal",150 cm,1500,"freshwater, brackish","lake/pond, river/stream","wet soils, shallow water, prefers eutrophic water",asexual,fragmentation,"submergent, emergent",perennial,high,moderate,moderate,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense stands and rafts, alters ecosystems, declines in indigenous species communities, reduces biodiversity, alters water chemistry and flow, biofouling, impedes commercial and recreational activities",MISP
40,Myriophyllum spicatum,Eurasian watermilfoil,Plant,27039,Haloragidaceae,forb/herb,"Eurasia, Africa","Europe, Asia, Northern Africa",Regulated in GLR,"IL, MI, MN, WI ",Yes,1880,"Great Lakes (all), throughout GLR","North America, Africa, Oceania","aquarium/garden, commercial shipping","recreational boating, canal",300 cm,3000,"freshwater, brackish","lake/pond, river/stream","still to slow-moving water up to 10 m deep, thrives in disturbance","sexual, asexual","external pollination, stolons, fragmentation (auto)",submergent,perennial,high,high,moderate,"competition, habitat alteration, ecosystem change, indigenous species decline, hybridization, nuisance   ","forms dense stands and rafts, alters ecosystems, declines in indigenous species communities, reduces biodiversity, alters water chemistry and flow, biofouling, impedes commercial and recreational activities, risk of hybridization with indigenous milfoils",MISP
41,Najas marina,"spiny waternymph, spiny naiad ",Plant,39001,Hydrocharitaceae,forb/herb,"North America, Eurasia, Africa, Oceania","Europe, East Asia, Africa, Oceania, North America",Proposed restriction list in GLR,MN,Yes,1864,"Great Lakes (Ontario?), throughout GLR","North America, Africa, Eurasia, South America, Oceania","aquarium/garden, canal, commercial shipping",recreational boating,50 cm,500,"freshwater, brackish","lake/pond, river/stream, wetland",still to slow-moving mesotrophic or eutrophic water up to 6 m deep,"sexual, asexual","external pollination, fragmentation",submergent,"annual, perennial",inadequate research,little/no evidence,little/no evidence,"competition, indigenous species decline, nuisance   ","forms dense stands, competes with indigenous species for resources, reduces biodiversity, biofouling, impedes commercial and recreational activities",n/a
42,Najas minor,"brittle waternymph, brittle naiad",Plant,39002,Hydrocharitaceae,forb/herb,"Eurasia, Africa","Europe, Asia, Northern Africa",Regulated in GLR,"IL, MN, WI",Yes,1932,"Great Lakes (Erie, Michigan, Huron, Ontario), throughout GLR",North America,"aquarium/garden, commercial shipping",recreational boating,120 cm,1200,"freshwater, brackish","lake/pond, river/stream, wetland",still to slow-moving water up to 4 m deep,"sexual, asexual","external pollination, fragmentation",submergent,"annual, perennial",moderate,moderate,inadequate research,"competition, indigenous species decline, nuisance   ","forms dense stands that shade out littoral communities, outcompetes indigenous Najas species for resources, reduces biodiversity, biofouling, alters water flow and increases sedimentation, impedes commercial and recreational activities",n/a
43,Nasturtium officinale,watercress,Plant,23255,Brassicaceae,forb/herb,"Eurasia, Africa","Europe, North Africa, Western Asia",Regulated in GLR,IL,Yes,1847,"Great Lakes (all), throughout GLR","North America, Africa, Eurasia, South America, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal",60 cm,600,freshwater,"lake/pond, river/stream, wetland, riparian","shallow, slow to fast moving water ","sexual, asexual","external pollination, stolons, fragmentation",emergent,perennial,inadequate research,little/no evidence,moderate,"competition, nuisance   ","forms dense stands, competes with indigenous species for resources, alters water flow",n/a
44,Nelumbo nucifera,sacred lotus,Plant,18400,Nelumbonaceae,forb/herb,"Asia, Oceania","Iran to China, Japan, Australia",Proposed restriction list in GLR,WI ,n/a,n/a,n/a,North America,aquarium/garden,"commercial shipping, recreational boating, canal",200 cm,2000,freshwater,"lake/pond, river/stream, wetland","shallow still to slow-moving water, up to 2 m deep, full sun","sexual, asexual","external pollination, tubers, fragmentation","emergent, floating leaf",perennial,n/a,n/a,n/a,"competition, habitat alteration, indigenous species decline, nuisance, unknown","forms dense stands, competes with indigenous species for resources, reduces community plant and invertebrate biodiversity, biofouling, alters water flow and increases sedimentation",n/a
45,Nitellopsis obtusa,starry stonewort,Plant,n/a,Characeae,macroalgae,Eurasia,n/a,Regulated in GLR,"IL, MI, WI ",Yes,1978,"Great Lakes (Erie, Huron, Michigan, Ontario), St. Lawrence Seaway, ON, IN, MI, MN, NY, PA, VT, WI",North America,commercial shipping,"recreational boating, canal",200 cm,2000,"freshwater, brackish","lake/pond, river/stream","deep slow moving water, prefers soft substrates","sexual, asexual","external pollination, bulbs, fragmentation",submergent,annual,moderate,high,little/no evidence,"competition, habitat alteration, indigenous species decline, nuisance   ","forms dense mats, declines in indigenous species, reduces biodiversity, biofouling, impedes commercial and recreational activities",MISP
46,Nymphaea mexicana,"banana waterlily, yellow waterlily",Plant,18385,Nymphaeaceae,forb/herb,North America,"Mexico, Southeastern USA","CA: invasive in North America, Minnesota Watch list","Western Canada, CA noxious weed list ",n/a,n/a,n/a,"North America, Europe, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal",150 cm,1500,freshwater,"lake/pond, river/stream",deep still to slow-moving water,"sexual, asexual","external pollination, stolons, fragmentation","emergent, floating leaf",perennial,n/a,n/a,n/a,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense stands, declines in indigenous species, reduces biodiversity, impedes commercial and recreational activities",n/a
47,Nymphoides peltata,yellow floating heart,Plant,29998,Menyanthaceae,forb/herb,Eurasia,"Europe, Japan, China, India",Regulated in GLR,"IL, MI, WI ",Yes,1930,"ON (isolated in captivity), PQ, NY, OH, VT, WI","North America, Europe, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal",200 cm,2000,freshwater,"lake/pond, river/stream, wetland, riparian","slow moving water 0.5-4 m deep, can survive in wet soil","sexual, asexual","external pollination, rhizomes, fragmentation","emergent, floating leaf",perennial,moderate,little/no evidence,moderate,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense floating mats, declines in indigenous plant communities, declines in algal populations, food web disruption, alters water flow and chemistry, increases sedimentation, reduces biodiversity, impedes commercial and recreational activities","CFIA, USDA, MISP"
48,Oenanthe javanica,Java waterdropwort; Vietnamese parsley,Plant,506796,Apiaceae,forb/herb,"Asia, Oceania","Asia, Australia",Proposed restriction list in GLR,WI ,Yes,"","IL, unknown",North America,aquarium/garden,"commercial shipping, recreational boating, canal",100 cm,1000,freshwater,"wetland, riparian","shallow water to moist soils, full sun to light shade","sexual, asexual","external pollination, stolons, fragmentation",emergent,perennial,n/a,n/a,n/a,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance, unknown","forms dense stands, declines in indigenous species, reduces biodiversity, impedes commercial and recreational activities, alters water flow",n/a
49,Ottelia alismoides,duck lettuce,Plant,38976,Hydrocharitaceae,forb/herb,"Africa, Asia, Oceania","Australia, Asia, Africa",Regulated in GLR,"IL, MN",n/a,n/a,n/a,North America,aquarium/garden,"commercial shipping, recreational boating, canal",70 cm,700,freshwater,"lake/pond, river/stream, wetland, riparian","shallow water (5 cm to 1 m deep) to moist soils, full sun to light shade",sexual,"external pollination, self-pollination","submergent, emergent flower","annual, perennial",n/a,n/a,n/a,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense mats, impedes commercial and recreational activities, alters water flow and chemistry, alters ecosystem",n/a
50,Pfiesteria spp.,"phantom dinoflagellate, cell from hell",Plant,553097,Pfiesteriaceae,phytoplankton like,North America,n/a,Regulated in GLR,IL,n/a,n/a,n/a,North America,unknown,"commercial shipping, recreational boating, canal, bait release",60 um,0.06,brackish,"lake/pond, river/stream","pelagic, warm, still, eutrophic water","sexual, asexual",fragmentation,free floating,n/a,n/a,n/a,n/a,toxic  ,"toxic to consumers (humans, fish, shellfish) resulting in death and/or disease, impedes commercial and recreational and commercial activities",n/a
51,Phragmites australis australis,"phragmites, common reed",Plant,1053534,Poaceae,graminoid,Eurasia,n/a,"Present, Ontario watch list, Regulated in GLR","IL, MI, WI, ON ",Yes,1869,"Great Lakes (all), throughout Great Lakes region","North America, Asia, Africa, Oceania","commercial shipping, aquarium/garden","recreational boating, canal",600 cm,6000,"freshwater, brackish","wetland, riparian",moist soils,"sexual, asexual","external pollination, self-pollination, stolons, rhizomes, fragmentation",riparian,perennial,high,moderate,moderate,"competition, habitat alteration, ecosystem change, indigenous species decline, hybridization, nuisance   ","forms dense monocultures, alters ecosystems, excludes indigenous species, reduces biodiversity across all trophic levels, alters nutrient cycling, changes water flow, allelopathic (chemical suppression of competitors), impedes commercial and recreational activities, increase fire hazards, able to hybridize with indigenous lineages","NYS, MISP"
52,Pistia stratiotes,water lettuce,Plant,42542,Arum,forb/herb,"Africa, Asia, South America, North America?, Oceania","Australia and Pacific Islands, Africa, Asia, Mexico, West Indies","Ontario watch list, Regulated in GLR","IL, ON",Yes,2000,"localized populations in ON, OH, WI","North America, Asia, Africa, Europe, South America, Oceania","commercial shipping, aquarium/garden","recreational boating, canal",50 cm,500,"freshwater, brackish","lake/pond, river/stream",still to slow-moving water,"sexual, asexual","external pollination, stolons, fragmentation",free floating,perennial,high,high,n/a,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense mats, alters ecosystems, excludes indigenous species, reduces biodiversity, alters habitat for fish and invertebrates, alters nutrient cycling, changes water flow, allelopathic (chemical suppression of competitors), impedes commercial and recreational activities","NYS, MISP"
53,Potamogeton crispus,curly-leaf pondweed,Plant,39007,Potamogetonaceae,forb/herb,"Eurasia, Africa, Oceania","Eurasia, North Africa, Australia","Present, Ontario watch list, Regulated in GL","IL, MI, MN, ON, WI",Yes,1879,"Great Lakes (all), throughout Great Lakes region, ON (Georgian Bay-Severn River area)","North America, South America, Oceania","commercial shipping, aquarium/garden, escaped culture","recreational boating, canal",500 cm,5000,"freshwater, brackish","lake/pond, river/stream, wetland","wide range of habitats and conditions (nutrients, water flow, temperature, light)","sexual, asexual","external pollination, rhizomes, turions, fragmentation",submergent,perennial,moderate,moderate,moderate,"competition, habitat alteration, ecosystem change, indigenous species decline, hybridization, nuisance   ","forms dense mats, alters ecosystems, excludes indigenous species, reduces biodiversity, alters habitat for fish and invertebrates, alters nutrient cycling, changes water flow and chemistry, able to hybridize with indigenous pondweed, impedes commercial and recreational and commercial activities","MISP, WIDNR"
54,Prymnesium parvum,golden alga,Plant,2170,Prymnesiaceae,plankton,"unknown, cryptogenic","unknown, cryptogenic, Eastern hemisphere",Regulated in GLR,"IL, WI",n/a,n/a,n/a,"North America, Africa, Eurasia, South America, Oceania",commercial shipping,"recreational boating, canal, bait release",10 um,0.01,"freshwater, brackish, marine","lake/pond, river/stream, wetland",shallow and deep water,"sexual, asexual",fragmentation,free floating,n/a,n/a,n/a,n/a,"habitat alteration, ecosystem change, indigenous species decline, toxic  ","toxic (to fish, invertebrates, planktonic algae and bacteria), alters habitat and ecosystems, reduces biodiversity ",n/a
55,Ranunculus lingua,greater spearwort,Plant,n/a,Ranunculaceae,forb/herb,Eurasia,"Europe, Middle East, Russia",Regulated in GLR,IL,n/a,n/a,n/a,"North America, Europe",aquarium/garden,"commercial shipping, recreational boating, canal",120 cm,1200,freshwater,"lake/pond, river/stream, wetland, riparian","prefers moist soil and shallow still to slow-moving water, full sun","sexual, asexual","external pollination, stolons, fragmentation",emergent,perennial,n/a,n/a,n/a,"competition, unknown","unknown, competes with indigenous species for resources, forms dense stands",n/a
56,Sagittaria sagittifolia,arrowhead ,Plant,38931,Alismataceae,forb/herb,Eurasia,Eurasia,Regulated in GLR,"IL, MN",n/a,n/a,n/a,"North America, South America, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal",100 cm,1000,freshwater,"lake/pond, river/stream, wetland, riparian",prefers nutrient rich muddy substrate with still to slow-moving water up to 45 cm deep,"sexual, asexual","external pollination, stolons, tubers, fragmentation",emergent,perennial,n/a,n/a,n/a,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","competes with indigenous species for resources, form dense stands, alters ecosystem, reduces biodiversity, changes water flow and chemistry, impedes commercial and recreational activities",USDA
57,Salvinia auriculata,"giant salvinia, eared watermoss",Plant,18013,Salviniaceae,forb/herb,"North America, South America","South and Central America, Mexico","Ontario watch list, Regulated in GLR","IL, MI, MN, ON",n/a,n/a,n/a,"North America, Asia",aquarium/garden,"commercial shipping, recreational boating, canal",30 cm,300,freshwater,"lake/pond, river/stream, wetland","prefers still to slow-moving, nutrient rich water",asexual,"rhizomes, fragmentation","free floating, emergent","annual, perennial",n/a,n/a,n/a,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense mats, alters ecosystems, excludes indigenous species, reduces biodiversity, alters habitat for fish and invertebrates, alters nutrient cycling, biofouling, changes water flow and chemistry, impedes commercial and recreational activities",MISP
58,Salvinia biloba (herzogii),giant salvinia,Plant,566006,Salviniaceae,forb/herb,South America,South and Central America,Regulated in GLR,"IL, MI, MN",n/a,n/a,n/a,Asia,aquarium/garden,"commercial shipping, recreational boating, canal",30 cm,300,freshwater,"lake/pond, river/stream, wetland","prefers still to slow-moving, nutrient rich water",asexual,"rhizomes, fragmentation","free floating, emergent","annual, perennial",n/a,n/a,n/a,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense mats, alters ecosystems, excludes indigenous species, reduces biodiversity, alters habitat for fish and invertebrates, alters nutrient cycling, biofouling, changes water flow and chemistry, impedes commercial and recreational activities",MISP
59,Salvinia molesta,giant salvinia,Plant,181823,Salviniaceae,forb/herb,South America,Brazil,"Ontario watch list, Regulated in GLR","IL, MI, MN, ON",n/a,n/a,n/a,"North America, Africa, Eurasia, South America, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal",30 cm,300,freshwater,"lake/pond, river/stream, wetland","prefers slow to still moving, nutrient rich water",asexual,"rhizomes, fragmentation","free floating, emergent","annual, perennial",n/a,n/a,n/a,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense mats, alters ecosystems, excludes indigenous species, reduces biodiversity, alters habitat for fish and invertebrates, alters nutrient cycling, biofouling, changes water flow and chemistry, impedes commercial and recreational activities",MISP
60,Solanum tampicense,wetland nightshade ,Plant,508061,Solanaceae,shrub,"North America, South America","Mexico, South America",Regulated in GLR,"IL, MN",n/a,n/a,n/a,"North America, Asia, Africa, Europe, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal",500 cm,5000,freshwater,"wetland, riparian","shade to full sun, tolerates temporary flooding","sexual, asexual","external pollination, fragmentation",riparian,perennial,n/a,n/a,n/a,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense stands, smothers other vegetative growth and excludes indigenous species, reduces biodiversity, impedes commercial and recreational activities",n/a
61,Sparganium glomeratum,bur reed,Plant,42322,Typhaceae,forb/herb,"Eurasia, North America","Europe, Asia, North America",Regulated in GLR,"IL, MN",Yes,1936,"Great Lakes (Superior), MN, WI","North America, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal",250 cm,2500,freshwater,"lake/pond, river/stream, wetland, riparian",muddy and peaty soils and shallow water up to 30 cm deep,"sexual, asexual","external pollination, rhizomes, fragmentation","emergent, riparian",perennial,inadequate research,little/no evidence,little/no evidence,"unknown, hybridization","unknown, possible hybridization risk with indigenous reeds",n/a
62,Stigonematales spp.,novel cyanobacteria (order stigonematales),Plant,1375,NA,cyanobacteria,"unknown, novel","unknown, novel",Regulated in GLR,IL,n/a,n/a,n/a,North America,unknown,"commercial shipping, recreational boating, canal, bait release",30 um,0.03,freshwater,"lake/pond, river/stream","epiphytic, pelagic","sexual, asexual",fragmentation,"free floating, epiphytic",n/a,n/a,n/a,n/a,"indigenous species decline, toxic  ","toxic to consumers (birds) resulting in death, decreases biodiversity of indigenous green algae and diatoms",n/a
63,Stratiotes aloides,water soldier,Plant,505383,Hydrocharitaceae,forb/herb,Eurasia,"Europe, Asia","Ontario watch list, Regulated in GLR","IL, MI, MN, ON, WI",Yes,2008,"ON (Trent-Severn Waterway, Black River)","North America, Europe",aquarium/garden,"commercial shipping, recreational boating, canal",60 cm,600,freshwater,"lake/pond, river/stream, wetland","shallow, still, nutrient rich water with mud and organic substrates up to 6.5 m deep","sexual, asexual","stolons, turions, fragmentation","emergent, submergent, free floating",perennial,moderate,moderate,little/no evidence,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense stands or mats, alters ecosystems, excludes indigenous species, reduces biodiversity, changes water flow and chemistry, impedes commercial and recreational activities, suspected allelopathy (chemical suppression of competitors)","USDA, MISP"
64,Trapa natans,water chestnut,Plant,27170,Trapaceae,forb/herb,"Eurasia, Africa","Europe, Asia, Africa","Ontario watch list, Regulated in GLR","IL, MI, MN, NY, ON, WI",Yes,1942,"Great Lakes (Ontario), PQ, NY, PA, VT","North America, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal",480 cm,4800,freshwater,"lake/pond, river/stream, wetland",still to slow-moving water up to 60 cm deep,"sexual, asexual","external pollination, self-pollination, fragmentation","emergent, floating leaf",annual,moderate,high,moderate,"competition, habitat alteration, ecosystem change, indigenous species decline, nuisance   ","forms dense mats, alters ecosystems, shades and excludes indigenous species, reduces biodiversity, changes water flow and chemistry, impedes commercial and recreational activities, allelopathic (chemical suppression of competitors, including phytoplankton)","OMNRF, CFIA, USDA, WIDNR"
65,Typha domingensis,southern cattail,Plant,42327,Typhaceae,forb/herb,"North America, Asia, Africa, Europe, South America, Oceania","North America, Asia, Africa, Europe, South America, Oceania",Proposed restriction list in GLR,WI,Yes,indigenous,"localized populations (may be indigenous) in IL, OH","North America, Asia, Africa, Europe, South America, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal",400 cm,4000,"freshwater, brackish","lake/pond, river/stream, wetland, riparian","shallow, nutrient rich water to moist soil, sun to part shade","sexual, asexual","external pollination, self-pollination, rhizomes, fragmentation",emergent,perennial,n/a,n/a,n/a,"competition, habitat alteration, ecosystem change, indigenous species decline, hybridization, nuisance   ","forms dense stands, excludes indigenous species, decreases waterfowl habitat, alters ecosystems, alters water flow and increases evapotranspiration, can hybridize with indigenous cattail species, impedes commercial, agricultural and recreational activities, ",n/a
66,Typha laxmannii,graceful cattail,Plant,n/a,Typhaceae,forb/herb,Eurasia,"Europe, Asia",Proposed restriction list in GLR,WI,n/a,n/a,n/a,Europe,"aquarium/garden, commercial shipping","recreational boating, canal",150 cm,1500,freshwater,"lake/pond, river/stream, wetland, riparian","shallow, nutrient rich water to moist soil, sun to part shade","sexual, asexual","external pollination, self-pollination, rhizomes, fragmentation",emergent,perennial,n/a,n/a,n/a,"competition, unknown","unknown, forms dense stands",n/a
67,Typha x glauca (T. latifolia x T. angustifolia),"hybrid cattail, white cattail",Plant,42328,Typhaceae,forb/herb,Europe,n/a,Ontario watch list ,ON,Yes,"","localized populations in IL, IN, MI, MN, NY, OH, ON, PQ, VT, WI ","North America, Europe",aquarium/garden,"commercial shipping, recreational boating, canal",300 cm,3000,"freshwater, brackish","lake/pond, river/stream, wetland, riparian","shallow, nutrient rich water to moist soil, sun to part shade, tolerant to droughts and inundation","sexual, asexual","external pollination, self-pollination, rhizomes, fragmentation","emergent, riparian",perennial,n/a,n/a,n/a,"competition, habitat alteration, ecosystem change, indigenous species decline, hybridization    ","forms dense stands, excludes indigenous species, decreases indigenous plant and invertebrate biodiversity, alters water flow and increases evapotranspiration, can hybridize with indigenous cattail species, allelopathic (chemical suppression of competitors)",n/a
